,geometry
100,"POLYGON ((923433.4348778214 7501684.861747535, 923433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535, 918433.4348778214 7501684.861747535, 923433.4348778214 7501684.861747535))"
101,"POLYGON ((923433.4348778214 7506684.861747535, 923433.4348778214 7511684.861747535, 918433.4348778214 7511684.861747535, 918433.4348778214 7506684.861747535, 923433.4348778214 7506684.861747535))"
102,"POLYGON ((923433.4348778214 7511684.861747535, 923433.4348778214 7516684.861747535, 918433.4348778214 7516684.861747535, 918433.4348778214 7511684.861747535, 923433.4348778214 7511684.861747535))"
103,"POLYGON ((923433.4348778214 7516684.861747535, 923433.4348778214 7521684.861747535, 918433.4348778214 7521684.861747535, 918433.4348778214 7516684.861747535, 923433.4348778214 7516684.861747535))"
104,"POLYGON ((923433.4348778214 7521684.861747535, 923433.4348778214 7526684.861747535, 918433.4348778214 7526684.861747535, 918433.4348778214 7521684.861747535, 923433.4348778214 7521684.861747535))"
105,"POLYGON ((923433.4348778214 7531684.861747535, 923433.4348778214 7536684.861747535, 918433.4348778214 7536684.861747535, 918433.4348778214 7531684.861747535, 923433.4348778214 7531684.861747535))"
106,"POLYGON ((923433.4348778214 7571684.861747535, 923433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535, 918433.4348778214 7571684.861747535, 923433.4348778214 7571684.861747535))"
107,"POLYGON ((923433.4348778214 7576684.861747535, 923433.4348778214 7581684.861747535, 918433.4348778214 7581684.861747535, 918433.4348778214 7576684.861747535, 923433.4348778214 7576684.861747535))"
108,"POLYGON ((923433.4348778214 7581684.861747535, 923433.4348778214 7586684.861747535, 918433.4348778214 7586684.861747535, 918433.4348778214 7581684.861747535, 923433.4348778214 7581684.861747535))"
109,"POLYGON ((923433.4348778214 7586684.861747535, 923433.4348778214 7591684.861747535, 918433.4348778214 7591684.861747535, 918433.4348778214 7586684.861747535, 923433.4348778214 7586684.861747535))"
110,"POLYGON ((923433.4348778214 7591684.861747535, 923433.4348778214 7596684.861747535, 918433.4348778214 7596684.861747535, 918433.4348778214 7591684.861747535, 923433.4348778214 7591684.861747535))"
111,"POLYGON ((923433.4348778214 7596684.861747535, 923433.4348778214 7601684.861747535, 918433.4348778214 7601684.861747535, 918433.4348778214 7596684.861747535, 923433.4348778214 7596684.861747535))"
112,"POLYGON ((923433.4348778214 7601684.861747535, 923433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535, 918433.4348778214 7601684.861747535, 923433.4348778214 7601684.861747535))"
113,"POLYGON ((923433.4348778214 7606684.861747535, 923433.4348778214 7611684.861747535, 918433.4348778214 7611684.861747535, 918433.4348778214 7606684.861747535, 923433.4348778214 7606684.861747535))"
114,"POLYGON ((923433.4348778214 7611684.861747535, 923433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535, 918433.4348778214 7611684.861747535, 923433.4348778214 7611684.861747535))"
115,"POLYGON ((923433.4348778214 7621684.861747535, 923433.4348778214 7626684.861747535, 918433.4348778214 7626684.861747535, 918433.4348778214 7621684.861747535, 923433.4348778214 7621684.861747535))"
116,"POLYGON ((923433.4348778214 7626684.861747535, 923433.4348778214 7631684.861747535, 918433.4348778214 7631684.861747535, 918433.4348778214 7626684.861747535, 923433.4348778214 7626684.861747535))"
117,"POLYGON ((923433.4348778214 7631684.861747535, 923433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535, 918433.4348778214 7631684.861747535, 923433.4348778214 7631684.861747535))"
118,"POLYGON ((923433.4348778214 7636684.861747535, 923433.4348778214 7641684.861747535, 918433.4348778214 7641684.861747535, 918433.4348778214 7636684.861747535, 923433.4348778214 7636684.861747535))"
119,"POLYGON ((923433.4348778214 7641684.861747535, 923433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535, 918433.4348778214 7641684.861747535, 923433.4348778214 7641684.861747535))"
120,"POLYGON ((923433.4348778214 7646684.861747535, 923433.4348778214 7651684.861747535, 918433.4348778214 7651684.861747535, 918433.4348778214 7646684.861747535, 923433.4348778214 7646684.861747535))"
121,"POLYGON ((923433.4348778214 7651684.861747535, 923433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535, 918433.4348778214 7651684.861747535, 923433.4348778214 7651684.861747535))"
122,"POLYGON ((923433.4348778214 7656684.861747535, 923433.4348778214 7661684.861747535, 918433.4348778214 7661684.861747535, 918433.4348778214 7656684.861747535, 923433.4348778214 7656684.861747535))"
123,"POLYGON ((923433.4348778214 7661684.861747535, 923433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535, 918433.4348778214 7661684.861747535, 923433.4348778214 7661684.861747535))"
124,"POLYGON ((923433.4348778214 7666684.861747535, 923433.4348778214 7671684.861747535, 918433.4348778214 7671684.861747535, 918433.4348778214 7666684.861747535, 923433.4348778214 7666684.861747535))"
125,"POLYGON ((923433.4348778214 7671684.861747535, 923433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535, 918433.4348778214 7671684.861747535, 923433.4348778214 7671684.861747535))"
126,"POLYGON ((923433.4348778214 7711684.861747535, 923433.4348778214 7716684.861747535, 918433.4348778214 7716684.861747535, 918433.4348778214 7711684.861747535, 923433.4348778214 7711684.861747535))"
127,"POLYGON ((923433.4348778214 7716684.861747535, 923433.4348778214 7721684.861747535, 918433.4348778214 7721684.861747535, 918433.4348778214 7716684.861747535, 923433.4348778214 7716684.861747535))"
128,"POLYGON ((923433.4348778214 7721684.861747535, 923433.4348778214 7726684.861747535, 918433.4348778214 7726684.861747535, 918433.4348778214 7721684.861747535, 923433.4348778214 7721684.861747535))"
129,"POLYGON ((923433.4348778214 7726684.861747535, 923433.4348778214 7731684.861747535, 918433.4348778214 7731684.861747535, 918433.4348778214 7726684.861747535, 923433.4348778214 7726684.861747535))"
130,"POLYGON ((928433.4348778214 7466684.861747535, 928433.4348778214 7471684.861747535, 923433.4348778214 7471684.861747535, 923433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535))"
131,"POLYGON ((928433.4348778214 7471684.861747535, 928433.4348778214 7476684.861747535, 923433.4348778214 7476684.861747535, 923433.4348778214 7471684.861747535, 928433.4348778214 7471684.861747535))"
132,"POLYGON ((928433.4348778214 7476684.861747535, 928433.4348778214 7481684.861747535, 923433.4348778214 7481684.861747535, 923433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535))"
133,"POLYGON ((928433.4348778214 7481684.861747535, 928433.4348778214 7486684.861747535, 923433.4348778214 7486684.861747535, 923433.4348778214 7481684.861747535, 928433.4348778214 7481684.861747535))"
134,"POLYGON ((928433.4348778214 7486684.861747535, 928433.4348778214 7491684.861747535, 923433.4348778214 7491684.861747535, 923433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535))"
135,"POLYGON ((928433.4348778214 7491684.861747535, 928433.4348778214 7496684.861747535, 923433.4348778214 7496684.861747535, 923433.4348778214 7491684.861747535, 928433.4348778214 7491684.861747535))"
