,geometry,index_right,Unnamed: 0,stationId,x,y,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember
150,"POLYGON ((958433.4348778214 7536684.861747535, 958433.4348778214 7546684.861747535, 948433.4348778214 7546684.861747535, 948433.4348778214 7536684.861747535, 958433.4348778214 7536684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
151,"POLYGON ((958433.4348778214 7546684.861747535, 958433.4348778214 7556684.861747535, 948433.4348778214 7556684.861747535, 948433.4348778214 7546684.861747535, 958433.4348778214 7546684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
152,"POLYGON ((958433.4348778214 7556684.861747535, 958433.4348778214 7566684.861747535, 948433.4348778214 7566684.861747535, 948433.4348778214 7556684.861747535, 958433.4348778214 7556684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
153,"POLYGON ((958433.4348778214 7566684.861747535, 958433.4348778214 7576684.861747535, 948433.4348778214 7576684.861747535, 948433.4348778214 7566684.861747535, 958433.4348778214 7566684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
154,"POLYGON ((958433.4348778214 7576684.861747535, 958433.4348778214 7586684.861747535, 948433.4348778214 7586684.861747535, 948433.4348778214 7576684.861747535, 958433.4348778214 7576684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
155,"POLYGON ((958433.4348778214 7586684.861747535, 958433.4348778214 7596684.861747535, 948433.4348778214 7596684.861747535, 948433.4348778214 7586684.861747535, 958433.4348778214 7586684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
189,"POLYGON ((968433.4348778214 7486684.861747535, 968433.4348778214 7496684.861747535, 958433.4348778214 7496684.861747535, 958433.4348778214 7486684.861747535, 968433.4348778214 7486684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
190,"POLYGON ((968433.4348778214 7496684.861747535, 968433.4348778214 7506684.861747535, 958433.4348778214 7506684.861747535, 958433.4348778214 7496684.861747535, 968433.4348778214 7496684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
191,"POLYGON ((968433.4348778214 7506684.861747535, 968433.4348778214 7516684.861747535, 958433.4348778214 7516684.861747535, 958433.4348778214 7506684.861747535, 968433.4348778214 7506684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
192,"POLYGON ((968433.4348778214 7516684.861747535, 968433.4348778214 7526684.861747535, 958433.4348778214 7526684.861747535, 958433.4348778214 7516684.861747535, 968433.4348778214 7516684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
193,"POLYGON ((968433.4348778214 7526684.861747535, 968433.4348778214 7536684.861747535, 958433.4348778214 7536684.861747535, 958433.4348778214 7526684.861747535, 968433.4348778214 7526684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
194,"POLYGON ((968433.4348778214 7536684.861747535, 968433.4348778214 7546684.861747535, 958433.4348778214 7546684.861747535, 958433.4348778214 7536684.861747535, 968433.4348778214 7536684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
195,"POLYGON ((968433.4348778214 7546684.861747535, 968433.4348778214 7556684.861747535, 958433.4348778214 7556684.861747535, 958433.4348778214 7546684.861747535, 968433.4348778214 7546684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
196,"POLYGON ((968433.4348778214 7556684.861747535, 968433.4348778214 7566684.861747535, 958433.4348778214 7566684.861747535, 958433.4348778214 7556684.861747535, 968433.4348778214 7556684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
197,"POLYGON ((968433.4348778214 7566684.861747535, 968433.4348778214 7576684.861747535, 958433.4348778214 7576684.861747535, 958433.4348778214 7566684.861747535, 968433.4348778214 7566684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
198,"POLYGON ((968433.4348778214 7576684.861747535, 968433.4348778214 7586684.861747535, 958433.4348778214 7586684.861747535, 958433.4348778214 7576684.861747535, 968433.4348778214 7576684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
199,"POLYGON ((968433.4348778214 7586684.861747535, 968433.4348778214 7596684.861747535, 958433.4348778214 7596684.861747535, 958433.4348778214 7586684.861747535, 968433.4348778214 7586684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
233,"POLYGON ((978433.4348778214 7486684.861747535, 978433.4348778214 7496684.861747535, 968433.4348778214 7496684.861747535, 968433.4348778214 7486684.861747535, 978433.4348778214 7486684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
234,"POLYGON ((978433.4348778214 7496684.861747535, 978433.4348778214 7506684.861747535, 968433.4348778214 7506684.861747535, 968433.4348778214 7496684.861747535, 978433.4348778214 7496684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
235,"POLYGON ((978433.4348778214 7506684.861747535, 978433.4348778214 7516684.861747535, 968433.4348778214 7516684.861747535, 968433.4348778214 7506684.861747535, 978433.4348778214 7506684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
236,"POLYGON ((978433.4348778214 7516684.861747535, 978433.4348778214 7526684.861747535, 968433.4348778214 7526684.861747535, 968433.4348778214 7516684.861747535, 978433.4348778214 7516684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
237,"POLYGON ((978433.4348778214 7526684.861747535, 978433.4348778214 7536684.861747535, 968433.4348778214 7536684.861747535, 968433.4348778214 7526684.861747535, 978433.4348778214 7526684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
238,"POLYGON ((978433.4348778214 7536684.861747535, 978433.4348778214 7546684.861747535, 968433.4348778214 7546684.861747535, 968433.4348778214 7536684.861747535, 978433.4348778214 7536684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
239,"POLYGON ((978433.4348778214 7546684.861747535, 978433.4348778214 7556684.861747535, 968433.4348778214 7556684.861747535, 968433.4348778214 7546684.861747535, 978433.4348778214 7546684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
240,"POLYGON ((978433.4348778214 7556684.861747535, 978433.4348778214 7566684.861747535, 968433.4348778214 7566684.861747535, 968433.4348778214 7556684.861747535, 978433.4348778214 7556684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
241,"POLYGON ((978433.4348778214 7566684.861747535, 978433.4348778214 7576684.861747535, 968433.4348778214 7576684.861747535, 968433.4348778214 7566684.861747535, 978433.4348778214 7566684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
242,"POLYGON ((978433.4348778214 7576684.861747535, 978433.4348778214 7586684.861747535, 968433.4348778214 7586684.861747535, 968433.4348778214 7576684.861747535, 978433.4348778214 7576684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
243,"POLYGON ((978433.4348778214 7586684.861747535, 978433.4348778214 7596684.861747535, 968433.4348778214 7596684.861747535, 968433.4348778214 7586684.861747535, 978433.4348778214 7586684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
278,"POLYGON ((988433.4348778214 7486684.861747535, 988433.4348778214 7496684.861747535, 978433.4348778214 7496684.861747535, 978433.4348778214 7486684.861747535, 988433.4348778214 7486684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
279,"POLYGON ((988433.4348778214 7496684.861747535, 988433.4348778214 7506684.861747535, 978433.4348778214 7506684.861747535, 978433.4348778214 7496684.861747535, 988433.4348778214 7496684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
280,"POLYGON ((988433.4348778214 7506684.861747535, 988433.4348778214 7516684.861747535, 978433.4348778214 7516684.861747535, 978433.4348778214 7506684.861747535, 988433.4348778214 7506684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
281,"POLYGON ((988433.4348778214 7516684.861747535, 988433.4348778214 7526684.861747535, 978433.4348778214 7526684.861747535, 978433.4348778214 7516684.861747535, 988433.4348778214 7516684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
282,"POLYGON ((988433.4348778214 7526684.861747535, 988433.4348778214 7536684.861747535, 978433.4348778214 7536684.861747535, 978433.4348778214 7526684.861747535, 988433.4348778214 7526684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
283,"POLYGON ((988433.4348778214 7536684.861747535, 988433.4348778214 7546684.861747535, 978433.4348778214 7546684.861747535, 978433.4348778214 7536684.861747535, 988433.4348778214 7536684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
284,"POLYGON ((988433.4348778214 7546684.861747535, 988433.4348778214 7556684.861747535, 978433.4348778214 7556684.861747535, 978433.4348778214 7546684.861747535, 988433.4348778214 7546684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
285,"POLYGON ((988433.4348778214 7556684.861747535, 988433.4348778214 7566684.861747535, 978433.4348778214 7566684.861747535, 978433.4348778214 7556684.861747535, 988433.4348778214 7556684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
286,"POLYGON ((988433.4348778214 7566684.861747535, 988433.4348778214 7576684.861747535, 978433.4348778214 7576684.861747535, 978433.4348778214 7566684.861747535, 988433.4348778214 7566684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
287,"POLYGON ((988433.4348778214 7576684.861747535, 988433.4348778214 7586684.861747535, 978433.4348778214 7586684.861747535, 978433.4348778214 7576684.861747535, 988433.4348778214 7576684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
323,"POLYGON ((998433.4348778214 7486684.861747535, 998433.4348778214 7496684.861747535, 988433.4348778214 7496684.861747535, 988433.4348778214 7486684.861747535, 998433.4348778214 7486684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
324,"POLYGON ((998433.4348778214 7496684.861747535, 998433.4348778214 7506684.861747535, 988433.4348778214 7506684.861747535, 988433.4348778214 7496684.861747535, 998433.4348778214 7496684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
325,"POLYGON ((998433.4348778214 7506684.861747535, 998433.4348778214 7516684.861747535, 988433.4348778214 7516684.861747535, 988433.4348778214 7506684.861747535, 998433.4348778214 7506684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
326,"POLYGON ((998433.4348778214 7516684.861747535, 998433.4348778214 7526684.861747535, 988433.4348778214 7526684.861747535, 988433.4348778214 7516684.861747535, 998433.4348778214 7516684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
327,"POLYGON ((998433.4348778214 7526684.861747535, 998433.4348778214 7536684.861747535, 988433.4348778214 7536684.861747535, 988433.4348778214 7526684.861747535, 998433.4348778214 7526684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
328,"POLYGON ((998433.4348778214 7536684.861747535, 998433.4348778214 7546684.861747535, 988433.4348778214 7546684.861747535, 988433.4348778214 7536684.861747535, 998433.4348778214 7536684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
329,"POLYGON ((998433.4348778214 7546684.861747535, 998433.4348778214 7556684.861747535, 988433.4348778214 7556684.861747535, 988433.4348778214 7546684.861747535, 998433.4348778214 7546684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
369,"POLYGON ((1008433.434877821 7486684.861747535, 1008433.434877821 7496684.861747535, 998433.4348778214 7496684.861747535, 998433.4348778214 7486684.861747535, 1008433.434877821 7486684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
370,"POLYGON ((1008433.434877821 7496684.861747535, 1008433.434877821 7506684.861747535, 998433.4348778214 7506684.861747535, 998433.4348778214 7496684.861747535, 1008433.434877821 7496684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
371,"POLYGON ((1008433.434877821 7506684.861747535, 1008433.434877821 7516684.861747535, 998433.4348778214 7516684.861747535, 998433.4348778214 7506684.861747535, 1008433.434877821 7506684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
372,"POLYGON ((1008433.434877821 7516684.861747535, 1008433.434877821 7526684.861747535, 998433.4348778214 7526684.861747535, 998433.4348778214 7516684.861747535, 1008433.434877821 7516684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
373,"POLYGON ((1008433.434877821 7526684.861747535, 1008433.434877821 7536684.861747535, 998433.4348778214 7536684.861747535, 998433.4348778214 7526684.861747535, 1008433.434877821 7526684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
413,"POLYGON ((1018433.434877821 7486684.861747535, 1018433.434877821 7496684.861747535, 1008433.434877821 7496684.861747535, 1008433.434877821 7486684.861747535, 1018433.434877821 7486684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
414,"POLYGON ((1018433.434877821 7496684.861747535, 1018433.434877821 7506684.861747535, 1008433.434877821 7506684.861747535, 1008433.434877821 7496684.861747535, 1018433.434877821 7496684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
415,"POLYGON ((1018433.434877821 7506684.861747535, 1018433.434877821 7516684.861747535, 1008433.434877821 7516684.861747535, 1008433.434877821 7506684.861747535, 1018433.434877821 7506684.861747535))",4,4,6082,8.6242,55.9591,-8.15,-7.2,-5.9,-3.2,0.3,6.7,5.9,6.8,3.5,1.8,-3.4,-3.5
99,"POLYGON ((948433.4348778214 7376684.861747535, 948433.4348778214 7386684.861747535, 938433.4348778214 7386684.861747535, 938433.4348778214 7376684.861747535, 948433.4348778214 7376684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
100,"POLYGON ((948433.4348778214 7386684.861747535, 948433.4348778214 7396684.861747535, 938433.4348778214 7396684.861747535, 938433.4348778214 7386684.861747535, 948433.4348778214 7386684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
101,"POLYGON ((948433.4348778214 7396684.861747535, 948433.4348778214 7406684.861747535, 938433.4348778214 7406684.861747535, 938433.4348778214 7396684.861747535, 948433.4348778214 7396684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
137,"POLYGON ((958433.4348778214 7366684.861747535, 958433.4348778214 7376684.861747535, 948433.4348778214 7376684.861747535, 948433.4348778214 7366684.861747535, 958433.4348778214 7366684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
138,"POLYGON ((958433.4348778214 7376684.861747535, 958433.4348778214 7386684.861747535, 948433.4348778214 7386684.861747535, 948433.4348778214 7376684.861747535, 958433.4348778214 7376684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
139,"POLYGON ((958433.4348778214 7386684.861747535, 958433.4348778214 7396684.861747535, 948433.4348778214 7396684.861747535, 948433.4348778214 7386684.861747535, 958433.4348778214 7386684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
140,"POLYGON ((958433.4348778214 7396684.861747535, 958433.4348778214 7406684.861747535, 948433.4348778214 7406684.861747535, 948433.4348778214 7396684.861747535, 958433.4348778214 7396684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
175,"POLYGON ((968433.4348778214 7346684.861747535, 968433.4348778214 7356684.861747535, 958433.4348778214 7356684.861747535, 958433.4348778214 7346684.861747535, 968433.4348778214 7346684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
176,"POLYGON ((968433.4348778214 7356684.861747535, 968433.4348778214 7366684.861747535, 958433.4348778214 7366684.861747535, 958433.4348778214 7356684.861747535, 968433.4348778214 7356684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
177,"POLYGON ((968433.4348778214 7366684.861747535, 968433.4348778214 7376684.861747535, 958433.4348778214 7376684.861747535, 958433.4348778214 7366684.861747535, 968433.4348778214 7366684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
178,"POLYGON ((968433.4348778214 7376684.861747535, 968433.4348778214 7386684.861747535, 958433.4348778214 7386684.861747535, 958433.4348778214 7376684.861747535, 968433.4348778214 7376684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
179,"POLYGON ((968433.4348778214 7386684.861747535, 968433.4348778214 7396684.861747535, 958433.4348778214 7396684.861747535, 958433.4348778214 7386684.861747535, 968433.4348778214 7386684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
180,"POLYGON ((968433.4348778214 7396684.861747535, 968433.4348778214 7406684.861747535, 958433.4348778214 7406684.861747535, 958433.4348778214 7396684.861747535, 968433.4348778214 7396684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
220,"POLYGON ((978433.4348778214 7356684.861747535, 978433.4348778214 7366684.861747535, 968433.4348778214 7366684.861747535, 968433.4348778214 7356684.861747535, 978433.4348778214 7356684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
221,"POLYGON ((978433.4348778214 7366684.861747535, 978433.4348778214 7376684.861747535, 968433.4348778214 7376684.861747535, 968433.4348778214 7366684.861747535, 978433.4348778214 7366684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
222,"POLYGON ((978433.4348778214 7376684.861747535, 978433.4348778214 7386684.861747535, 968433.4348778214 7386684.861747535, 968433.4348778214 7376684.861747535, 978433.4348778214 7376684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
223,"POLYGON ((978433.4348778214 7386684.861747535, 978433.4348778214 7396684.861747535, 968433.4348778214 7396684.861747535, 968433.4348778214 7386684.861747535, 978433.4348778214 7386684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
266,"POLYGON ((988433.4348778214 7366684.861747535, 988433.4348778214 7376684.861747535, 978433.4348778214 7376684.861747535, 978433.4348778214 7366684.861747535, 988433.4348778214 7366684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
267,"POLYGON ((988433.4348778214 7376684.861747535, 988433.4348778214 7386684.861747535, 978433.4348778214 7386684.861747535, 978433.4348778214 7376684.861747535, 988433.4348778214 7376684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
268,"POLYGON ((988433.4348778214 7386684.861747535, 988433.4348778214 7396684.861747535, 978433.4348778214 7396684.861747535, 978433.4348778214 7386684.861747535, 988433.4348778214 7386684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
312,"POLYGON ((998433.4348778214 7376684.861747535, 998433.4348778214 7386684.861747535, 988433.4348778214 7386684.861747535, 988433.4348778214 7376684.861747535, 998433.4348778214 7376684.861747535))",17,17,6096,8.5599,55.1904,-5.3,-5.8,-3.6,1.2,3.7,9.0,10.1,8.7,7.1,5.5,-1.3,-2.9
218,"POLYGON ((978433.4348778214 7336684.861747535, 978433.4348778214 7346684.861747535, 968433.4348778214 7346684.861747535, 968433.4348778214 7336684.861747535, 978433.4348778214 7336684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
219,"POLYGON ((978433.4348778214 7346684.861747535, 978433.4348778214 7356684.861747535, 968433.4348778214 7356684.861747535, 968433.4348778214 7346684.861747535, 978433.4348778214 7346684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
263,"POLYGON ((988433.4348778214 7336684.861747535, 988433.4348778214 7346684.861747535, 978433.4348778214 7346684.861747535, 978433.4348778214 7336684.861747535, 988433.4348778214 7336684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
264,"POLYGON ((988433.4348778214 7346684.861747535, 988433.4348778214 7356684.861747535, 978433.4348778214 7356684.861747535, 978433.4348778214 7346684.861747535, 988433.4348778214 7346684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
265,"POLYGON ((988433.4348778214 7356684.861747535, 988433.4348778214 7366684.861747535, 978433.4348778214 7366684.861747535, 978433.4348778214 7356684.861747535, 988433.4348778214 7356684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
308,"POLYGON ((998433.4348778214 7336684.861747535, 998433.4348778214 7346684.861747535, 988433.4348778214 7346684.861747535, 988433.4348778214 7336684.861747535, 998433.4348778214 7336684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
309,"POLYGON ((998433.4348778214 7346684.861747535, 998433.4348778214 7356684.861747535, 988433.4348778214 7356684.861747535, 988433.4348778214 7346684.861747535, 998433.4348778214 7346684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
310,"POLYGON ((998433.4348778214 7356684.861747535, 998433.4348778214 7366684.861747535, 988433.4348778214 7366684.861747535, 988433.4348778214 7356684.861747535, 998433.4348778214 7356684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
311,"POLYGON ((998433.4348778214 7366684.861747535, 998433.4348778214 7376684.861747535, 988433.4348778214 7376684.861747535, 988433.4348778214 7366684.861747535, 998433.4348778214 7366684.861747535))",2,2,6116,9.1229,54.8986,-8.75,-6.8,-4.9,-3.2,-0.8,4.6,5.1,5.7,4.3,0.8,-3.9,-4.6
